Station,Latitude,Longitude,Frequency Change,Duration Change,Season Change,Intensity Change
ALBANY_NY,42.75,-73.8,3.488135593,0.720786717,37.73220339,0.595192928
ALBUQUERQUE_NM,35.05,-106.62,3.962711864,1.022070024,38.33559322,0.298745854
ALLENTOWN_PA,40.65,-75.43,2.33559322,0.152636943,28.11525424,0.775652219
ATLANTA_GA,33.65,-84.43,6.389830508,2.035222002,82.4,0.425929186
AUSTIN_TX,30.3,-97.7,7.2,1.255314112,64.31525424,0.289492175
BALTIMORE_MD,39.18,-76.67,3.420338983,1.147212469,45.37288136,0.614090398
BIRMINGHAM_AL,33.57,-86.75,5.4,2.549655652,66.80338983,0.593780444
BOSTON_MA,42.37,-71.03,1.776271186,0.551685103,28.23389831,1.139241463
BUFFALO_NY,42.93,-78.73,1.93220339,0.331351003,17.03050847,0.357900598
CHARLOTTE_NC,35.22,-80.93,3.345762712,1.594756784,40.66779661,0.451866582
CHICAGO_IL,41.78,-87.75,3.071186441,-0.031160388,44.05423729,-0.354173154
CLEVELAND_OH,41.4,-81.85,5.220338983,0.701777379,48.13898305,1.106946232
COLUMBUS_OH,40,-82.88,3.501694915,0.91623053,47.83728814,0.781327751
COVINGTON_KY,39.07,-84.67,2.227118644,0.734550468,25.7220339,0.275922085
DETROIT_MI,42.42,-83.02,5.552542373,1.124461489,54.73559322,1.012555204
EL_PASO_TX,31.8,-106.4,5.552542373,1.810579777,59.76271186,0.519327398
FORT_WORTH_TX,32.83,-97.05,4.576271186,3.849048338,53.54237288,0.456729669
FRESNO_CA,36.77,-119.72,3.827118644,2.274853555,64.27457627,0.822748941
HARTFORD_CT,41.93,-72.68,1.511864407,0.135898155,27.3559322,0.531516459
INDIANAPOLIS_IN,39.73,-86.28,2.122033898,0.675753343,21.42711864,-0.118506619
JACKSONVILLE_FL,30.5,-81.7,0.986440678,0.179014653,21.59322034,0.014908313
KNOXVILLE_TN,35.82,-83.98,3.301694915,0.619439735,45.83728814,0.451785119
LAS_VEGAS_NV,36.08,-115.17,5.861016949,2.382356756,57.14915254,0.991578433
LOS_ANGELES_CA,33.93,-118.4,1.447457627,2.716231665,35.93559322,0.416909984
LOUISVILLE_KY,38.18,-85.73,4.657627119,0.989239687,50.86101695,0.215430701
MEMPHIS_TN,35.05,-89.98,2.728813559,-0.982019671,22.02711864,-0.284513301
MIAMI_FL,25.8,-80.27,8.505084746,1.344203285,77.2779661,0.343176461
MILWAUKEE_WI,42.95,-87.9,3.962711864,0.294879012,48.22711864,0.846613296
NASHVILLE_TN,36.12,-86.68,3.196610169,0.77069579,37.20677966,0.334453632
NEW_ORLEANS_LA,29.98,-90.25,9.338983051,3.616388438,102.7152542,0.56732641
NORFOLK_VA,36.9,-76.2,5.952542373,1.325170346,76.97966102,0.395157908
OKLAHOMA_CITY_OK,35.4,-97.6,2.423728814,0.242669492,23.08813559,0.670039115
PHILADELPHIA_PA,39.88,-75.25,4.53220339,1.215393067,51.53898305,1.558959056
PHOENIX_AZ,33.43,-112.02,5.284745763,1.323524952,55.36271186,0.992336795
PITTSBURGH_PA,40.5,-80.22,4.2,1.203227791,59.03389831,1.507324751
PORTLAND_OR,45.6,-122.6,5.047457627,1.021486113,55.60338983,0.644597793
PROVIDENCE_RI,41.73,-71.43,2.603389831,0.098551952,29.63728814,0.346503724
RALEIGH_NC,35.87,-78.78,4.738983051,1.702839272,62.92542373,0.754278035
RICHMOND_VA,37.5,-77.33,4.155932203,0.777219305,61.41016949,0.972621246
ROCHESTER_NY,43.12,-77.67,1.138983051,-0.457078867,8.369491525,-0.159161842
SALT_LAKE_CITY_UT,40.77,-111.97,4.861016949,2.928224374,46.36271186,1.417148412
SAN_ANTONIO_TX,29.53,-98.47,5.006779661,1.138966402,46.1559322,0.008492474
SAN_DIEGO_CA,32.73,-117.17,1.318644068,-0.217209989,13.95254237,0.333467174
SAN_FRANCISCO_CA,37.62,-122.38,6.955932203,2.807537757,115.5423729,0.394509321
SAN_JUAN_PR,18.43,-66,13.67118644,1.241519696,132.6474576,0.301760621
SEATTLE_WA,47.45,-122.3,4.047457627,1.936575069,47.1220339,0.418778675
ST_LOUIS_MO,38.75,-90.38,4.301694915,-0.318430901,52.70847458,0.69902809
TAMPA_FL,27.97,-82.53,8.945762712,1.832667715,82.72542373,0.580357111
TUCSON_AZ,32.12,-110.93,5.213559322,1.502815207,46.8,0.376749858
TULSA_OK,36.2,-95.9,3.640677966,1.136924226,51.13898305,0.609997837
