Year,Heat wave index
1890,
1891,
1892,
1893,
1894,
1895,0.025
1896,0.088
1897,0.159
1898,0.06
1899,0.05
1900,0.123
1901,0.318
1902,0.063
1903,0.01
1904,0.006
1905,0.045
1906,0.035
1907,0.022
1908,0.036
1909,0.047
1910,0.066
1911,0.195
1912,0.035
1913,0.09
1914,0.104
1915,0.035
1916,0.134
1917,0.173
1918,0.233
1919,0.03
1920,0.008
1921,0.116
1922,0.019
1923,0.025
1924,0.04
1925,0.157
1926,0.056
1927,0.007
1928,0.056
1929,0.022
1930,0.531
1931,0.562
1932,0.121
1933,0.221
1934,0.869
1935,0.168
1936,1.281
1937,0.067
1938,0.041
1939,0.088
1940,0.222
1941,0.181
1942,0.078
1943,0.072
1944,0.067
1945,0.005
1946,0.013
1947,0.149
1948,0.091
1949,0.071
1950,0.015
1951,0.061
1952,0.192
1953,0.075
1954,0.291
1955,0.135
1956,0.029
1957,0.005
1958,0.024
1959,0.017
1960,0.035
1961,0.038
1962,0.028
1963,0.027
1964,0.042
1965,0.007
1966,0.043
1967,0.001
1968,0.017
1969,0.027
1970,0.019
1971,0.04
1972,0.029
1973,0.022
1974,0.015
1975,0.058
1976,0.049
1977,0.087
1978,0.031
1979,0.021
1980,0.259
1981,0.072
1982,0.009
1983,0.144
1984,0.013
1985,0.028
1986,0.081
1987,0.052
1988,0.315
1989,0.039
1990,0.073
1991,0.039
1992,0.032
1993,0.043
1994,0.081
1995,0.09
1996,0.016
1997,0.013
1998,0.135
1999,0.095
2000,0.09
2001,0.104
2002,0.11
2003,0.12
2004,0.011
2005,0.052
2006,0.214
2007,0.171
2008,0.032
2009,0.068
2010,0.154
2011,0.301
2012,0.262
2013,0.089
2014,0.032
2015,0.107
2016,0.069
2017,0.086
2018,0.115
2019,0.058
2020,0.129
